latitude,longitude,link_length_km,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,all_hgvs,all_motor_vehicles,road_name
51.52240706,-0.07707439,0.1,2005.0,1438.0,8185.0,177.0,2523.5,830.0,13153.5,A1202
51.52360951,-0.07911397,0.3,1402.0,1201.5,9266.0,150.0,2687.0,500.0,13804.5,A1202
51.52550735,-0.08243628,0.4,1112.0,1137.0,8689.5,214.0,2813.0,427.5,13281.0,A1202
51.52578865,-0.08039179,0.3,267.0,441.0,3293.0,204.0,1936.0,183.0,6056.0,A1202
51.50845099,-0.0705288,0.5,379.0,1665.5,10629.5,415.0,4185.5,2018.0,18913.5,A1203
51.50887625,-0.02583726,0.6,0.0,1267.5,20837.5,167.5,5772.5,2056.0,30101.0,A1203
51.50965417,-0.05843033,1.9,164.5,1563.0,17341.0,474.5,5944.5,1457.0,26779.5,A1203
51.51073448,-0.04065836,1.3,0.5,1881.5,26239.0,247.5,7081.5,2349.0,37798.5,A1203
51.51189031,-0.04202113,0.3,135.0,346.5,7104.0,161.0,1907.0,415.0,9934.0,A1203
51.52040238,-0.03211366,1.6,153.5,186.0,5602.0,403.5,1249.0,413.5,7855.0,A1205
51.53133286,-0.04043725,1.4,568.0,160.0,4561.5,266.5,989.5,90.0,6068.0,A1205
51.5372484,-0.04465332,0.2,568.0,160.0,4561.5,266.5,989.5,90.0,6068.0,A1205
51.49208585,-0.006106800000000001,2.8,360.0,80.5,2944.0,318.0,415.0,104.5,3861.5,A1206
51.49239771,-0.02453247,2.9,630.0,87.5,2578.5,399.0,367.5,67.0,3500.0,A1206
51.50915553,-0.02640163,0.3,454.0,381.5,5368.0,313.0,932.0,255.0,7249.5,A1206
51.50954431,-0.01002823,0.6,61.0,619.5,10838.5,101.0,2739.0,548.0,14846.5,A1206
51.54619351,-0.06893249,1.0,339.5,269.0,3525.0,676.0,1074.0,242.0,5785.5,A1207
51.52947911,-0.07511843,0.6,2374.5,719.0,4392.5,494.5,1467.5,386.5,7461.0,A1208
51.53091681,-0.06957904,1.1,1010.5,344.0,4588.5,427.0,1527.0,367.0,7253.5,A1208
51.523655700000006,-0.07644517,0.1,1184.0,397.0,5091.5,355.0,1132.5,161.5,7138.0,A1209
51.52570475,-0.06979949,1.5,1184.0,397.0,5091.5,355.0,1132.5,161.5,7138.0,A1209
51.51100505,-0.07272672,0.2,608.0,391.0,12895.0,669.0,3840.0,586.0,18382.0,A1210
51.51272193,-0.07323074,0.4,1416.0,1051.0,11517.0,565.0,3871.0,715.0,17719.0,A1210
